"","ci_n_avg_lows_rade","ci_n_avg_ups_rade","ci_h_avg_lows_rade","ci_h_avg_ups_rade","ci_c_avg_lows_rade","ci_c_avg_ups_rade","cs_avg_lows_rade","cs_avg_ups_rade","ci_n_avg_size_rade","ci_h_avg_size_rade","ci_c_avg_size_rade","cs_avg_size_rade","ci_n_miscov_rade","ci_h_miscov_rade","ci_c_miscov_rade","cs_miscov_rade","ci_n_avg_lows_unif","ci_n_avg_ups_unif","ci_h_avg_lows_unif","ci_h_avg_ups_unif","ci_c_avg_lows_unif","ci_c_avg_ups_unif","cs_avg_lows_unif","cs_avg_ups_unif","ci_n_avg_size_unif","ci_h_avg_size_unif","ci_c_avg_size_unif","cs_avg_size_unif","ci_n_miscov_unif","ci_h_miscov_unif","ci_c_miscov_unif","cs_miscov_unif"
"34",-0.145204071040003,0.139910837957296,-0.108769900529074,0.103476667446367,-0.0264115637962382,0.0211183307135315,-0.317587997154371,0.312294764071664,0.285114908997299,0.21224656797544,0.0475298945097697,0.629882761226036,0.229,0.426,0.988,0.001,-0.0799616145111297,0.084822047541352,-0.103693067472609,0.108553500502831,-0.0113048598122411,0.0161652928424634,-0.312511164097907,0.317371597128129,0.164783662052482,0.21224656797544,0.0274701526547046,0.629882761226036,0.21,0.076,0.993,0
"35",-0.144728384374474,0.139325399299847,-0.108428052579413,0.103025067504787,-0.0262894820998103,0.0208864970251835,-0.316511591593373,0.311108606518746,0.284053783674322,0.2114531200842,0.0471759791249938,0.627620198112119,0.229,0.426,0.99,0.001,-0.0798099427793594,0.0843448797618792,-0.10345909155084,0.10799402853336,-0.0113640423819618,0.0158989793644815,-0.3115426305648,0.316077567547319,0.164154822541239,0.2114531200842,0.0272630217464433,0.627620198112119,0.211,0.077,0.993,0
"36",-0.143926819095526,0.139067559836266,-0.107763881973616,0.102904622714357,-0.0258424467372347,0.0209831874779754,-0.315120802567104,0.310261543307845,0.282994378931792,0.210668504687973,0.0468256342152101,0.625382345874949,0.235,0.431,0.99,0.001,-0.0796802803293021,0.0838700126353112,-0.103239386190982,0.107429118496991,-0.0114360495900203,0.0156257818960293,-0.31059630678447,0.314786039090479,0.163550292964613,0.210668504687973,0.0270618314860496,0.625382345874949,0.211,0.078,0.993,0
"37",-0.143114018274769,0.138849312392416,-0.107078632503382,0.102813926621029,-0.0253739477430912,0.0211092418607383,-0.31371673070744,0.309452024825087,0.281963330667185,0.20989255912441,0.0464831896038295,0.623168755532528,0.235,0.431,0.992,0.001,-0.0794586335855168,0.0834691916503863,-0.10294100052977,0.10695155859464,-0.0114244903178205,0.01543504838269,-0.309579098733829,0.313589656798699,0.162927825235903,0.20989255912441,0.0268595387005105,0.623168755532528,0.212,0.078,0.994,0
"38",-0.142352047207647,0.138585623849983,-0.106445774126036,0.102679350768372,-0.0249555941185354,0.0211891707608711,-0.312372706414242,0.308606283056578,0.280937671057631,0.209125124894409,0.0461447648794065,0.62097898947082,0.235,0.438,0.992,0.001,-0.0791618428959286,0.0831633991820547,-0.102561784304141,0.106563340590267,-0.0113303997325888,0.0153319560187149,-0.308488716592347,0.312490272878473,0.162325242077983,0.209125124894409,0.0266623557513037,0.62097898947082,0.213,0.078,0.994,0
"39",-0.141768490423461,0.138145302017664,-0.105994617965952,0.102371429560155,-0.0247164468775514,0.0210932584717543,-0.311217904740786,0.307594716334989,0.279913792441125,0.208366047526107,0.0458097053493057,0.618812621075774,0.236,0.438,0.994,0.001,-0.0789405532700906,0.0827937912772861,-0.102256404759456,0.106109642766651,-0.0113078175776879,0.0151610555848833,-0.307479691534289,0.311332929541485,0.161734344547377,0.208366047526107,0.0264688731625712,0.618812621075774,0.213,0.079,0.995,0
"40",-0.140979263989226,0.137928904276995,-0.10533276807825,0.10228240836602,-0.024265500333406,0.0212151406211757,-0.30985979704602,0.30680943733379,0.278908168266221,0.20761517644427,0.0454806409545817,0.616669234379809,0.236,0.442,0.994,0.001,-0.0786335095805771,0.0825117786688306,-0.101868453678008,0.105746722766262,-0.0111995824786717,0.0150778515669253,-0.306395482645778,0.310273751734031,0.161145288249408,0.20761517644427,0.026277434045597,0.616669234379809,0.216,0.079,0.995,0
"41",-0.140495275930053,0.137409561644339,-0.104979039565264,0.10189332527955,-0.0241203044021792,0.0210345901164649,-0.308817069003911,0.305731354718197,0.277904837574393,0.206872364844813,0.045154894518644,0.614548423722109,0.238,0.442,0.995,0.001,-0.0785484675499988,0.0820143688977608,-0.101703231748526,0.105169133096288,-0.0113114389213021,0.014777340269064,-0.305541261187173,0.309007162534935,0.16056283644776,0.206872364844813,0.0260887791903661,0.614548423722109,0.217,0.079,0.995,0
"42",-0.139934792083514,0.136984437473585,-0.104543912092081,0.101593557482152,-0.0238926322647178,0.0209422776547887,-0.307700074016004,0.304749719406075,0.276919229557099,0.206137469574233,0.0448349099195064,0.612449793422079,0.238,0.452,0.995,0.001,-0.0783065709879776,0.0816701304458671,-0.101386955058172,0.104750514516061,-0.0112688214436027,0.0146323809014923,-0.304543116982094,0.307906676439984,0.159976701433845,0.206137469574233,0.0259012023450949,0.612449793422079,0.218,0.079,0.996,0
"43",-0.139608399861307,0.136340794227504,-0.104338978323759,0.101071372689956,-0.0238939332829529,0.0206263276491501,-0.30682028154959,0.303552675915787,0.275949194088812,0.205410351013714,0.0445202609321031,0.610372957465377,0.24,0.452,0.997,0.001,-0.0780177891801852,0.0813633871074667,-0.101032376543216,0.104377974470498,-0.0111840814114259,0.0145296793387074,-0.303513679769048,0.306859277696329,0.159381176287652,0.205410351013714,0.0257137607501332,0.610372957465377,0.219,0.079,0.996,0
